geography_name,total_population,median_age,median_household_income,poverty_universe,population_below_poverty,civilian_labor_force,unemployed_population,occupied_housing_units,owner_occupied_units,renter_occupied_units,median_gross_rent,median_home_value,state,county,tract,poverty_rate,unemployment_rate,homeownership_rate,rent_to_income_ratio,tract_geoid
Census Tract 1; Shelby County; Tennessee,5420.0,32.5,65236.0,5307.0,680.0,3499.0,103.0,3435.0,1172.0,2263.0,1713.0,440400.0,47,157,000100,12.81,2.94,34.12,0.315,47157000100
Census Tract 206.22; Shelby County; Tennessee,4996.0,37.2,63574.0,4663.0,310.0,2042.0,194.0,1532.0,1151.0,381.0,1359.0,240000.0,47,157,020622,6.65,9.5,75.13,0.257,47157020622
Census Tract 206.32; Shelby County; Tennessee,5040.0,43.7,97515.0,4876.0,319.0,2318.0,219.0,1719.0,1514.0,205.0,2646.0,275400.0,47,157,020632,6.54,9.45,88.07,0.326,47157020632
Census Tract 206.33; Shelby County; Tennessee,3087.0,39.9,83125.0,3050.0,137.0,1393.0,15.0,1187.0,1071.0,116.0,2500.0,284900.0,47,157,020633,4.49,1.08,90.23,0.361,47157020633
Census Tract 206.34; Shelby County; Tennessee,2798.0,52.7,89712.0,2798.0,136.0,1383.0,49.0,1071.0,947.0,124.0,1586.0,272000.0,47,157,020634,4.86,3.54,88.42,0.212,47157020634
Census Tract 206.35; Shelby County; Tennessee,2763.0,36.6,76477.0,2749.0,477.0,1325.0,18.0,981.0,843.0,138.0,1554.0,199900.0,47,157,020635,17.35,1.36,85.93,0.244,47157020635
Census Tract 206.51; Shelby County; Tennessee,7511.0,33.5,73977.0,7511.0,815.0,3569.0,119.0,2404.0,1669.0,735.0,1539.0,209500.0,47,157,020651,10.85,3.33,69.43,0.25,47157020651
Census Tract 206.52; Shelby County; Tennessee,4591.0,41.4,87727.0,4554.0,174.0,2765.0,91.0,1844.0,1447.0,397.0,1480.0,238600.0,47,157,020652,3.82,3.29,78.47,0.202,47157020652
Census Tract 206.53; Shelby County; Tennessee,3644.0,42.8,133250.0,3631.0,54.0,1863.0,22.0,1276.0,1195.0,81.0,1750.0,387500.0,47,157,020653,1.49,1.18,93.65,0.158,47157020653
Census Tract 206.54; Shelby County; Tennessee,5847.0,41.9,98095.0,5660.0,156.0,2885.0,72.0,1950.0,1723.0,227.0,1594.0,353200.0,47,157,020654,2.76,2.5,88.36,0.195,47157020654
Census Tract 206.55; Shelby County; Tennessee,3222.0,47.5,92158.0,3188.0,244.0,1712.0,65.0,1230.0,1075.0,155.0,2101.0,321800.0,47,157,020655,7.65,3.8,87.4,0.274,47157020655
Census Tract 206.56; Shelby County; Tennessee,4681.0,40.0,106806.0,4681.0,53.0,3007.0,62.0,1727.0,1319.0,408.0,1633.0,342000.0,47,157,020656,1.13,2.06,76.38,0.183,47157020656
Census Tract 206.57; Shelby County; Tennessee,5354.0,40.0,120339.0,5351.0,319.0,2925.0,86.0,1828.0,1523.0,305.0,2184.0,333700.0,47,157,020657,5.96,2.94,83.32,0.218,47157020657
Census Tract 206.58; Shelby County; Tennessee,5953.0,30.5,64201.0,5930.0,733.0,3142.0,302.0,1864.0,1093.0,771.0,1448.0,191700.0,47,157,020658,12.36,9.61,58.64,0.271,47157020658
Census Tract 207; Shelby County; Tennessee,2223.0,50.5,84861.0,2223.0,107.0,1122.0,29.0,876.0,853.0,23.0,1250.0,297200.0,47,157,020700,4.81,2.58,97.37,0.177,47157020700
Census Tract 208.33; Shelby County; Tennessee,5541.0,41.0,129063.0,5285.0,246.0,2532.0,74.0,1748.0,1725.0,23.0,,402000.0,47,157,020833,4.65,2.92,98.68,,47157020833
Census Tract 208.34; Shelby County; Tennessee,2988.0,42.4,108056.0,2979.0,74.0,1525.0,37.0,1200.0,819.0,381.0,1172.0,449600.0,47,157,020834,2.48,2.43,68.25,0.13,47157020834
Census Tract 208.35; Shelby County; Tennessee,2168.0,52.6,94706.0,2168.0,313.0,1012.0,61.0,888.0,815.0,73.0,1750.0,369500.0,47,157,020835,14.44,6.03,91.78,0.222,47157020835
Census Tract 208.36; Shelby County; Tennessee,8516.0,42.9,155978.0,8516.0,270.0,4115.0,133.0,2823.0,2612.0,211.0,2250.0,481800.0,47,157,020836,3.17,3.23,92.53,0.173,47157020836
Census Tract 208.37; Shelby County; Tennessee,7281.0,36.3,93770.0,7281.0,237.0,3675.0,123.0,3004.0,2056.0,948.0,1678.0,294300.0,47,157,020837,3.26,3.35,68.44,0.215,47157020837
Census Tract 209.01; Shelby County; Tennessee,5880.0,35.4,130089.0,5827.0,591.0,3084.0,157.0,1758.0,1233.0,525.0,2205.0,398100.0,47,157,020901,10.14,5.09,70.14,0.203,47157020901
Census Tract 209.02; Shelby County; Tennessee,7760.0,37.8,136512.0,7760.0,95.0,4185.0,55.0,2605.0,2420.0,185.0,2108.0,435200.0,47,157,020902,1.22,1.31,92.9,0.185,47157020902
Census Tract 210.20; Shelby County; Tennessee,6482.0,44.2,126279.0,6482.0,551.0,3537.0,374.0,2384.0,2132.0,252.0,1629.0,447300.0,47,157,021020,8.5,10.57,89.43,0.155,47157021020
Census Tract 210.21; Shelby County; Tennessee,5226.0,34.7,77375.0,5184.0,947.0,2909.0,28.0,1757.0,1293.0,464.0,2017.0,280800.0,47,157,021021,18.27,0.96,73.59,0.313,47157021021
Census Tract 210.22; Shelby County; Tennessee,6328.0,36.6,84455.0,6328.0,314.0,3546.0,226.0,2511.0,1415.0,1096.0,1855.0,284400.0,47,157,021022,4.96,6.37,56.35,0.264,47157021022
Census Tract 210.23; Shelby County; Tennessee,7439.0,37.2,134903.0,7308.0,1438.0,3924.0,32.0,2738.0,1941.0,797.0,1645.0,451400.0,47,157,021023,19.68,0.82,70.89,0.146,47157021023
Census Tract 211.11; Shelby County; Tennessee,4376.0,29.7,49514.0,4370.0,890.0,2504.0,204.0,1724.0,628.0,1096.0,1089.0,159700.0,47,157,021111,20.37,8.15,36.43,0.264,47157021111
Census Tract 211.12; Shelby County; Tennessee,5867.0,31.8,62289.0,5867.0,543.0,3439.0,83.0,2365.0,1217.0,1148.0,1432.0,156400.0,47,157,021112,9.26,2.41,51.46,0.276,47157021112
Census Tract 211.13; Shelby County; Tennessee,3960.0,31.8,69737.0,3960.0,455.0,2132.0,344.0,1580.0,797.0,783.0,1647.0,201300.0,47,157,021113,11.49,16.14,50.44,0.283,47157021113
Census Tract 211.21; Shelby County; Tennessee,5237.0,30.6,47500.0,5237.0,544.0,3248.0,204.0,2818.0,677.0,2141.0,1103.0,275200.0,47,157,021121,10.39,6.28,24.02,0.279,47157021121
Census Tract 211.22; Shelby County; Tennessee,5842.0,29.4,59246.0,5842.0,1171.0,3057.0,131.0,2070.0,732.0,1338.0,1221.0,159800.0,47,157,021122,20.04,4.29,35.36,0.247,47157021122
Census Tract 211.24; Shelby County; Tennessee,7991.0,31.0,58409.0,7794.0,1182.0,4760.0,141.0,3336.0,1607.0,1729.0,1783.0,222100.0,47,157,021124,15.17,2.96,48.17,0.366,47157021124
Census Tract 211.25; Shelby County; Tennessee,4473.0,36.9,77222.0,4289.0,117.0,2526.0,25.0,1828.0,921.0,907.0,1629.0,270100.0,47,157,021125,2.73,0.99,50.38,0.253,47157021125
Census Tract 211.26; Shelby County; Tennessee,3572.0,30.9,69491.0,3572.0,362.0,2140.0,68.0,1722.0,589.0,1133.0,1645.0,326300.0,47,157,021126,10.13,3.18,34.2,0.284,47157021126
Census Tract 211.35; Shelby County; Tennessee,5264.0,41.2,78587.0,5243.0,254.0,3344.0,9.0,2617.0,1210.0,1407.0,1496.0,216900.0,47,157,021135,4.84,0.27,46.24,0.228,47157021135
Census Tract 211.36; Shelby County; Tennessee,5547.0,43.4,112250.0,5547.0,162.0,3340.0,198.0,2026.0,1595.0,431.0,2572.0,364000.0,47,157,021136,2.92,5.93,78.73,0.275,47157021136
Census Tract 211.38; Shelby County; Tennessee,4526.0,36.6,111489.0,4526.0,230.0,2485.0,148.0,1528.0,894.0,634.0,1747.0,344300.0,47,157,021138,5.08,5.96,58.51,0.188,47157021138
Census Tract 211.39; Shelby County; Tennessee,4369.0,48.8,159886.0,4220.0,66.0,2259.0,105.0,1550.0,1431.0,119.0,2205.0,422700.0,47,157,021139,1.56,4.65,92.32,0.165,47157021139
Census Tract 211.40; Shelby County; Tennessee,5248.0,33.2,84229.0,5184.0,247.0,2968.0,34.0,2062.0,1132.0,930.0,1640.0,301900.0,47,157,021140,4.76,1.15,54.9,0.234,47157021140
Census Tract 211.41; Shelby County; Tennessee,7741.0,41.4,89205.0,7741.0,448.0,4997.0,450.0,2847.0,1821.0,1026.0,1796.0,263700.0,47,157,021141,5.79,9.01,63.96,0.242,47157021141
Census Tract 211.42; Shelby County; Tennessee,2994.0,42.4,79934.0,2994.0,102.0,1953.0,119.0,1419.0,856.0,563.0,1396.0,279800.0,47,157,021142,3.41,6.09,60.32,0.21,47157021142
Census Tract 211.43; Shelby County; Tennessee,5900.0,36.3,85617.0,5900.0,145.0,2910.0,186.0,1892.0,1241.0,651.0,2046.0,248700.0,47,157,021143,2.46,6.39,65.59,0.287,47157021143
Census Tract 211.44; Shelby County; Tennessee,3136.0,41.1,101558.0,3136.0,277.0,1935.0,21.0,1430.0,707.0,723.0,1511.0,279800.0,47,157,021144,8.83,1.09,49.44,0.179,47157021144
Census Tract 212; Shelby County; Tennessee,1444.0,40.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,47,157,021200,,,,,47157021200
Census Tract 213.11; Shelby County; Tennessee,4409.0,55.6,160278.0,4353.0,302.0,2344.0,53.0,2220.0,1611.0,609.0,1757.0,746000.0,47,157,021311,6.94,2.26,72.57,0.132,47157021311
Census Tract 213.12; Shelby County; Tennessee,1753.0,38.8,66650.0,1753.0,163.0,1247.0,12.0,1093.0,380.0,713.0,1425.0,407500.0,47,157,021312,9.3,0.96,34.77,0.257,47157021312
Census Tract 213.20; Shelby County; Tennessee,5912.0,38.5,106705.0,5740.0,667.0,3198.0,20.0,2244.0,1428.0,816.0,1236.0,425400.0,47,157,021320,11.62,0.63,63.64,0.139,47157021320
Census Tract 213.31; Shelby County; Tennessee,3374.0,43.0,121667.0,3260.0,226.0,1956.0,53.0,1266.0,1150.0,116.0,1991.0,265600.0,47,157,021331,6.93,2.71,90.84,0.196,47157021331
Census Tract 213.33; Shelby County; Tennessee,4419.0,41.3,89484.0,4419.0,75.0,2712.0,220.0,1741.0,1186.0,555.0,1383.0,239100.0,47,157,021333,1.7,8.11,68.12,0.185,47157021333
Census Tract 213.34; Shelby County; Tennessee,3584.0,37.1,61543.0,3442.0,428.0,1929.0,211.0,1666.0,546.0,1120.0,1262.0,234200.0,47,157,021334,12.43,10.94,32.77,0.246,47157021334
Census Tract 213.41; Shelby County; Tennessee,6151.0,44.4,155625.0,5922.0,214.0,2535.0,130.0,2143.0,1702.0,441.0,,536300.0,47,157,021341,3.61,5.13,79.42,,47157021341
Census Tract 213.51; Shelby County; Tennessee,4420.0,51.3,101344.0,4410.0,83.0,2176.0,140.0,2191.0,1387.0,804.0,1827.0,414700.0,47,157,021351,1.88,6.43,63.3,0.216,47157021351
Census Tract 213.52; Shelby County; Tennessee,7245.0,44.2,146763.0,7245.0,96.0,3370.0,101.0,2626.0,2508.0,118.0,2705.0,468500.0,47,157,021352,1.33,3.0,95.51,0.221,47157021352
Census Tract 213.54; Shelby County; Tennessee,6109.0,34.6,87594.0,6109.0,404.0,4219.0,178.0,3213.0,834.0,2379.0,1458.0,332500.0,47,157,021354,6.61,4.22,25.96,0.2,47157021354
Census Tract 213.55; Shelby County; Tennessee,5994.0,38.1,144415.0,5913.0,156.0,3216.0,235.0,2232.0,1429.0,803.0,1675.0,549800.0,47,157,021355,2.64,7.31,64.02,0.139,47157021355
Census Tract 213.56; Shelby County; Tennessee,3439.0,51.4,236189.0,3439.0,0.0,1513.0,31.0,1245.0,1245.0,0.0,,752500.0,47,157,021356,0.0,2.05,100.0,,47157021356
Census Tract 213.57; Shelby County; Tennessee,5837.0,43.8,219722.0,5837.0,189.0,2649.0,18.0,2066.0,2019.0,47.0,,640400.0,47,157,021357,3.24,0.68,97.73,,47157021357
Census Tract 214.10; Shelby County; Tennessee,3293.0,44.7,135333.0,3293.0,104.0,1472.0,16.0,1344.0,1161.0,183.0,2558.0,386200.0,47,157,021410,3.16,1.09,86.38,0.227,47157021410
Census Tract 214.20; Shelby County; Tennessee,3180.0,45.1,140417.0,3180.0,125.0,1603.0,8.0,1279.0,1144.0,135.0,1801.0,423400.0,47,157,021420,3.93,0.5,89.44,0.154,47157021420
Census Tract 214.30; Shelby County; Tennessee,3963.0,44.5,137697.0,3963.0,130.0,2183.0,52.0,1748.0,1541.0,207.0,1710.0,383600.0,47,157,021430,3.28,2.38,88.16,0.149,47157021430
Census Tract 215.30; Shelby County; Tennessee,5439.0,45.2,188750.0,5439.0,154.0,2704.0,74.0,1994.0,1739.0,255.0,,586500.0,47,157,021530,2.83,2.74,87.21,,47157021530
Census Tract 215.41; Shelby County; Tennessee,7983.0,41.0,166356.0,7949.0,65.0,3903.0,149.0,2473.0,2396.0,77.0,2582.0,518400.0,47,157,021541,0.82,3.82,96.89,0.186,47157021541
Census Tract 215.42; Shelby County; Tennessee,5812.0,41.4,217500.0,5812.0,28.0,2876.0,84.0,1938.0,1670.0,268.0,1614.0,654700.0,47,157,021542,0.48,2.92,86.17,0.089,47157021542
Census Tract 215.43; Shelby County; Tennessee,3648.0,41.3,173135.0,3648.0,0.0,2053.0,66.0,1148.0,1120.0,28.0,,610100.0,47,157,021543,0.0,3.21,97.56,,47157021543
Census Tract 215.44; Shelby County; Tennessee,3572.0,31.0,110750.0,3554.0,77.0,1850.0,138.0,1491.0,413.0,1078.0,1752.0,398000.0,47,157,021544,2.17,7.46,27.7,0.19,47157021544
Census Tract 215.45; Shelby County; Tennessee,3312.0,49.6,112983.0,3245.0,102.0,1677.0,39.0,1563.0,1134.0,429.0,1681.0,542400.0,47,157,021545,3.14,2.33,72.55,0.179,47157021545
Census Tract 215.46; Shelby County; Tennessee,4164.0,35.3,121462.0,4125.0,457.0,2349.0,39.0,1782.0,516.0,1266.0,1559.0,602300.0,47,157,021546,11.08,1.66,28.96,0.154,47157021546
Census Tract 215.47; Shelby County; Tennessee,7030.0,30.8,83443.0,7030.0,1199.0,3757.0,251.0,2368.0,1116.0,1252.0,1520.0,334500.0,47,157,021547,17.06,6.68,47.13,0.219,47157021547
Census Tract 215.48; Shelby County; Tennessee,3467.0,34.6,77043.0,3467.0,154.0,1951.0,68.0,1485.0,455.0,1030.0,1758.0,210000.0,47,157,021548,4.44,3.49,30.64,0.274,47157021548
Census Tract 216.11; Shelby County; Tennessee,4948.0,43.9,122005.0,4859.0,39.0,2481.0,0.0,1869.0,1628.0,241.0,1719.0,371900.0,47,157,021611,0.8,0.0,87.11,0.169,47157021611
Census Tract 216.12; Shelby County; Tennessee,5383.0,38.8,131838.0,5383.0,50.0,2654.0,196.0,1725.0,1549.0,176.0,2311.0,397700.0,47,157,021612,0.93,7.39,89.8,0.21,47157021612
Census Tract 216.13; Shelby County; Tennessee,4712.0,38.5,132875.0,4712.0,127.0,2392.0,32.0,1599.0,1513.0,86.0,2705.0,419800.0,47,157,021613,2.7,1.34,94.62,0.244,47157021613
Census Tract 216.20; Shelby County; Tennessee,3467.0,33.8,64674.0,3459.0,848.0,1655.0,240.0,1132.0,516.0,616.0,1132.0,322400.0,47,157,021620,24.52,14.5,45.58,0.21,47157021620
Census Tract 217.10; Shelby County; Tennessee,1782.0,31.2,27050.0,1782.0,628.0,1023.0,33.0,999.0,115.0,884.0,1135.0,136500.0,47,157,021710,35.24,3.23,11.51,0.504,47157021710
Census Tract 217.21; Shelby County; Tennessee,4708.0,26.8,49773.0,4708.0,950.0,2741.0,133.0,1922.0,197.0,1725.0,1224.0,157700.0,47,157,021721,20.18,4.85,10.25,0.295,47157021721
Census Tract 217.24; Shelby County; Tennessee,2442.0,33.0,43694.0,2442.0,434.0,1366.0,70.0,955.0,319.0,636.0,1172.0,151500.0,47,157,021724,17.77,5.12,33.4,0.322,47157021724
Census Tract 217.25; Shelby County; Tennessee,3803.0,26.9,43049.0,3803.0,793.0,2478.0,317.0,2145.0,84.0,2061.0,1099.0,112000.0,47,157,021725,20.85,12.79,3.92,0.306,47157021725
Census Tract 217.31; Shelby County; Tennessee,2813.0,25.6,46875.0,2813.0,769.0,1198.0,211.0,904.0,325.0,579.0,1349.0,72900.0,47,157,021731,27.34,17.61,35.95,0.345,47157021731
Census Tract 217.44; Shelby County; Tennessee,6401.0,35.6,85264.0,6343.0,446.0,3266.0,466.0,2064.0,1413.0,651.0,1703.0,207400.0,47,157,021744,7.03,14.27,68.46,0.24,47157021744
Census Tract 217.45; Shelby County; Tennessee,8927.0,39.4,110802.0,8906.0,719.0,5556.0,592.0,3014.0,2497.0,517.0,2077.0,218600.0,47,157,021745,8.07,10.66,82.85,0.225,47157021745
Census Tract 217.46; Shelby County; Tennessee,4178.0,33.7,54853.0,4148.0,795.0,2301.0,206.0,1690.0,731.0,959.0,1330.0,147700.0,47,157,021746,19.17,8.95,43.25,0.291,47157021746
Census Tract 217.47; Shelby County; Tennessee,4654.0,27.7,58568.0,4654.0,279.0,2181.0,106.0,1352.0,939.0,413.0,1515.0,154600.0,47,157,021747,5.99,4.86,69.45,0.31,47157021747
Census Tract 217.51; Shelby County; Tennessee,6494.0,38.1,101119.0,6494.0,894.0,3691.0,435.0,2367.0,1589.0,778.0,2048.0,261800.0,47,157,021751,13.77,11.79,67.13,0.243,47157021751
Census Tract 217.52; Shelby County; Tennessee,5529.0,33.3,60202.0,5472.0,1383.0,3007.0,422.0,2113.0,1051.0,1062.0,1150.0,284700.0,47,157,021752,25.27,14.03,49.74,0.229,47157021752
Census Tract 217.53; Shelby County; Tennessee,2783.0,34.8,72625.0,2783.0,307.0,1536.0,72.0,1097.0,758.0,339.0,1762.0,183300.0,47,157,021753,11.03,4.69,69.1,0.291,47157021753
Census Tract 217.54; Shelby County; Tennessee,4857.0,34.1,69257.0,4857.0,1050.0,2603.0,450.0,1792.0,792.0,1000.0,1628.0,170700.0,47,157,021754,21.62,17.29,44.2,0.282,47157021754
Census Tract 217.55; Shelby County; Tennessee,1585.0,28.6,42083.0,1585.0,315.0,891.0,13.0,887.0,7.0,880.0,1048.0,,47,157,021755,19.87,1.46,0.79,0.299,47157021755
Census Tract 217.56; Shelby County; Tennessee,1635.0,59.0,44777.0,1525.0,181.0,541.0,58.0,899.0,198.0,701.0,1781.0,154800.0,47,157,021756,11.87,10.72,22.02,0.477,47157021756
Census Tract 217.57; Shelby County; Tennessee,3368.0,34.6,43057.0,3368.0,276.0,1945.0,123.0,1521.0,444.0,1077.0,1207.0,160300.0,47,157,021757,8.19,6.32,29.19,0.336,47157021757
Census Tract 217.58; Shelby County; Tennessee,3475.0,24.8,45875.0,3475.0,644.0,1814.0,177.0,1351.0,416.0,935.0,1158.0,129000.0,47,157,021758,18.53,9.76,30.79,0.303,47157021758
Census Tract 217.59; Shelby County; Tennessee,4283.0,29.7,56315.0,4283.0,1230.0,2285.0,232.0,1431.0,585.0,846.0,1389.0,144700.0,47,157,021759,28.72,10.15,40.88,0.296,47157021759
Census Tract 217.60; Shelby County; Tennessee,4737.0,23.9,65000.0,4737.0,225.0,1805.0,84.0,1384.0,793.0,591.0,1437.0,143000.0,47,157,021760,4.75,4.65,57.3,0.265,47157021760
Census Tract 219; Shelby County; Tennessee,5088.0,34.1,66398.0,5088.0,658.0,2550.0,109.0,1900.0,941.0,959.0,1348.0,94700.0,47,157,021900,12.93,4.27,49.53,0.244,47157021900
Census Tract 220.23; Shelby County; Tennessee,2865.0,29.4,37665.0,2848.0,1300.0,1084.0,155.0,903.0,284.0,619.0,1107.0,168100.0,47,157,022023,45.65,14.3,31.45,0.353,47157022023
Census Tract 220.24; Shelby County; Tennessee,3536.0,38.1,55742.0,3536.0,653.0,1584.0,175.0,1197.0,858.0,339.0,1379.0,156300.0,47,157,022024,18.47,11.05,71.68,0.297,47157022024
Census Tract 220.25; Shelby County; Tennessee,3723.0,27.8,32558.0,3723.0,2136.0,1599.0,321.0,1472.0,101.0,1371.0,956.0,69500.0,47,157,022025,57.37,20.08,6.86,0.352,47157022025
Census Tract 220.26; Shelby County; Tennessee,1922.0,30.8,42930.0,1922.0,773.0,934.0,214.0,647.0,179.0,468.0,1058.0,140800.0,47,157,022026,40.22,22.91,27.67,0.296,47157022026
Census Tract 221.11; Shelby County; Tennessee,4977.0,44.7,29795.0,4746.0,1489.0,2177.0,153.0,2246.0,521.0,1725.0,1080.0,153300.0,47,157,022111,31.37,7.03,23.2,0.435,47157022111
Census Tract 221.21; Shelby County; Tennessee,4652.0,36.7,59524.0,4630.0,1310.0,2214.0,336.0,1703.0,1176.0,527.0,1529.0,174300.0,47,157,022121,28.29,15.18,69.05,0.308,47157022121
Census Tract 221.22; Shelby County; Tennessee,3934.0,32.5,46774.0,3934.0,1003.0,2474.0,398.0,1642.0,733.0,909.0,1149.0,121300.0,47,157,022122,25.5,16.09,44.64,0.295,47157022122
Census Tract 221.30; Shelby County; Tennessee,4920.0,38.8,49479.0,4588.0,1067.0,1892.0,162.0,1926.0,1367.0,559.0,997.0,122900.0,47,157,022130,23.26,8.56,70.98,0.242,47157022130
Census Tract 221.31; Shelby County; Tennessee,2197.0,30.0,32083.0,2197.0,1179.0,732.0,183.0,947.0,142.0,805.0,1041.0,129700.0,47,157,022131,53.66,25.0,14.99,0.389,47157022131
Census Tract 221.32; Shelby County; Tennessee,2777.0,44.5,42670.0,2777.0,836.0,1074.0,127.0,1141.0,326.0,815.0,908.0,140500.0,47,157,022132,30.1,11.82,28.57,0.255,47157022132
Census Tract 222.10; Shelby County; Tennessee,4277.0,47.1,38194.0,4234.0,577.0,2068.0,473.0,1735.0,1286.0,449.0,1282.0,76100.0,47,157,022210,13.63,22.87,74.12,0.403,47157022210
Census Tract 222.20; Shelby County; Tennessee,3845.0,36.4,43220.0,3845.0,1528.0,1838.0,496.0,1571.0,848.0,723.0,1057.0,60900.0,47,157,022220,39.74,26.99,53.98,0.293,47157022220
Census Tract 223.10; Shelby County; Tennessee,5071.0,31.5,29016.0,5071.0,2204.0,1798.0,200.0,1853.0,829.0,1024.0,1042.0,66500.0,47,157,022310,43.46,11.12,44.74,0.431,47157022310
Census Tract 223.21; Shelby County; Tennessee,4105.0,32.4,55909.0,4054.0,987.0,1768.0,141.0,1472.0,906.0,566.0,1024.0,96300.0,47,157,022321,24.35,7.98,61.55,0.22,47157022321
Census Tract 223.22; Shelby County; Tennessee,3559.0,42.3,62726.0,3559.0,835.0,1639.0,242.0,1449.0,887.0,562.0,1161.0,111800.0,47,157,022322,23.46,14.77,61.21,0.222,47157022322
Census Tract 223.30; Shelby County; Tennessee,4972.0,31.6,35274.0,4943.0,2261.0,1883.0,292.0,1742.0,957.0,785.0,1088.0,82200.0,47,157,022330,45.74,15.51,54.94,0.37,47157022330
Census Tract 224.10; Shelby County; Tennessee,5954.0,42.5,65264.0,5954.0,1488.0,2739.0,288.0,2253.0,1625.0,628.0,1072.0,204500.0,47,157,022410,24.99,10.51,72.13,0.197,47157022410
Census Tract 225; Shelby County; Tennessee,4588.0,39.5,50752.0,4588.0,568.0,1964.0,144.0,1775.0,1046.0,729.0,1039.0,112200.0,47,157,022500,12.38,7.33,58.93,0.246,47157022500
Census Tract 226; Shelby County; Tennessee,4152.0,27.4,39023.0,4138.0,1142.0,1838.0,295.0,1440.0,591.0,849.0,1219.0,132600.0,47,157,022600,27.6,16.05,41.04,0.375,47157022600
Census Tract 227; Shelby County; Tennessee,6506.0,42.1,28621.0,6483.0,2101.0,2649.0,420.0,2860.0,1135.0,1725.0,995.0,80600.0,47,157,022700,32.41,15.86,39.69,0.417,47157022700
Census Tract 9801; Shelby County; Tennessee,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,47,157,980100,,,,,47157980100
Census Tract 9802; Shelby County; Tennessee,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,47,157,980200,,,,,47157980200
Census Tract 9803; Shelby County; Tennessee,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,47,157,980300,,,,,47157980300
Census Tract 9804.01; Shelby County; Tennessee,1747.0,34.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,47,157,980401,,,,,47157980401
Census Tract 9804.02; Shelby County; Tennessee,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,47,157,980402,,,,,47157980402
